GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,TRACTA,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URB_AREAA,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,FCL001
"G0100010","1990","AL",,,,,,,,"99","Autauga","001",,,"6","5240",,,,"9999","3","Alabama","01",,"0001543666","0000021962","Autauga County","A","+32542207","-086641472","06",58400
"G0100030","1990","AL",,,,,,,,"99","Baldwin","003",,,"6","5160",,,,"9999","3","Alabama","01",,"0004135016","0001115118","Baldwin County","A","+30654881","-087754736","06",64100
"G0100050","1990","AL",,,,,,,,"99","Barbour","005",,,"6","9999",,,,"9999","3","Alabama","01",,"0002292133","0000050747","Barbour County","A","+31863073","-085388993","06",40200
"G0100070","1990","AL",,,,,,,,"99","Bibb","007",,,"6","9999",,,,"9999","3","Alabama","01",,"0001611914","0000008130","Bibb County","A","+32996943","-087126855","06",38300
"G0100090","1990","AL",,,,,,,,"99","Blount","009",,,"6","1000",,,,"9999","3","Alabama","01",,"0001672287","0000012884","Blount County","A","+33979740","-086566214","06",45800
"G0100110","1990","AL",,,,,,,,"99","Bullock","011",,,"6","9999",,,,"9999","3","Alabama","01",,"0001618915","0000002703","Bullock County","A","+32101773","-085717786","06",31400
"G0100130","1990","AL",,,,,,,,"99","Butler","013",,,"6","9999",,,,"9999","3","Alabama","01",,"0002012260","0000002724","Butler County","A","+31751982","-086682302","06",34300
"G0100150","1990","AL",,,,,,,,"99","Calhoun","015",,,"6","0450",,,,"9999","3","Alabama","01",,"0001576038","0000009959","Calhoun County","A","+33774548","-085825619","06",51100
"G0100170","1990","AL",,,,,,,,"99","Chambers","017",,,"6","9999",,,,"9999","3","Alabama","01",,"0001547283","0000014885","Chambers County","A","+32915184","-085389802","06",37500
"G0100190","1990","AL",,,,,,,,"99","Cherokee","019",,,"6","9999",,,,"9999","3","Alabama","01",,"0001432714","0000121285","Cherokee County","A","+34187088","-085605750","06",44100
"G0100210","1990","AL",,,,,,,,"99","Chilton","021",,,"6","9999",,,,"9999","3","Alabama","01",,"0001797629","0000017453","Chilton County","A","+32844987","-086718688","06",42500
"G0100230","1990","AL",,,,,,,,"99","Choctaw","023",,,"6","9999",,,,"9999","3","Alabama","01",,"0002366161","0000018995","Choctaw County","A","+32024863","-088265781","06",37600
"G0100250","1990","AL",,,,,,,,"99","Clarke","025",,,"6","9999",,,,"9999","3","Alabama","01",,"0003207659","0000036584","Clarke County","A","+31677523","-087835981","06",39300
"G0100270","1990","AL",,,,,,,,"99","Clay","027",,,"6","9999",,,,"9999","3","Alabama","01",,"0001567273","0000002403","Clay County","A","+33268721","-085859858","06",35300
"G0100290","1990","AL",,,,,,,,"99","Cleburne","029",,,"6","9999",,,,"9999","3","Alabama","01",,"0001450928","0000002226","Cleburne County","A","+33670870","-085517385","06",43600
"G0100310","1990","AL",,,,,,,,"99","Coffee","031",,,"6","9999",,,,"9999","3","Alabama","01",,"0001759093","0000003449","Coffee County","A","+31402888","-085989130","06",52200
"G0100330","1990","AL",,,,,,,,"99","Colbert","033",,,"6","2650",,,,"9999","3","Alabama","01",,"0001539948","0000075322","Colbert County","A","+34707296","-087796569","06",45500
"G0100350","1990","AL",,,,,,,,"99","Conecuh","035",,,"6","9999",,,,"9999","3","Alabama","01",,"0002203757","0000004438","Conecuh County","A","+31428183","-086992999","06",31800
"G0100370","1990","AL",,,,,,,,"99","Coosa","037",,,"6","9999",,,,"9999","3","Alabama","01",,"0001689951","0000036041","Coosa County","A","+32935503","-086239249","06",35000
"G0100390","1990","AL",,,,,,,,"99","Covington","039",,,"6","9999",,,,"9999","3","Alabama","01",,"0002679941","0000023877","Covington County","A","+31248133","-086453162","06",35000
"G0100410","1990","AL",,,,,,,,"99","Crenshaw","041",,,"6","9999",,,,"9999","3","Alabama","01",,"0001578918","0000003345","Crenshaw County","A","+31731354","-086311599","06",30800
"G0100430","1990","AL",,,,,,,,"99","Cullman","043",,,"6","9999",,,,"9999","3","Alabama","01",,"0001912664","0000042427","Cullman County","A","+34131670","-086866896","06",47200
"G0100450","1990","AL",,,,,,,,"99","Dale","045",,,"6","2180",,,,"9999","3","Alabama","01",,"0001453300","0000004134","Dale County","A","+31426115","-085612338","06",48900
"G0100470","1990","AL",,,,,,,,"99","Dallas","047",,,"6","9999",,,,"9999","3","Alabama","01",,"0002540256","0000032798","Dallas County","A","+32329593","-087109517","06",43100
"G0100490","1990","AL",,,,,,,,"99","DeKalb","049",,,"6","9999",,,,"9999","3","Alabama","01",,"0002014972","0000001898","DeKalb County","A","+34459830","-085798731","06",39600
"G0100510","1990","AL",,,,,,,,"99","Elmore","051",,,"6","5240",,,,"9999","3","Alabama","01",,"0001609888","0000092419","Elmore County","A","+32599910","-086138157","06",57600
"G0100530","1990","AL",,,,,,,,"99","Escambia","053",,,"6","9999",,,,"9999","3","Alabama","01",,"0002453958","0000014420","Escambia County","A","+31136909","-087162695","06",41100
"G0100550","1990","AL",,,,,,,,"99","Etowah","055",,,"6","2880",,,,"9999","3","Alabama","01",,"0001385231","0000036177","Etowah County","A","+34047533","-086038250","06",42400
"G0100570","1990","AL",,,,,,,,"99","Fayette","057",,,"6","9999",,,,"9999","3","Alabama","01",,"0001626038","0000004067","Fayette County","A","+33729772","-087735378","06",37500
"G0100590","1990","AL",,,,,,,,"99","Franklin","059",,,"6","9999",,,,"9999","3","Alabama","01",,"0001646417","0000028142","Franklin County","A","+34435932","-087843648","06",37800
"G0100610","1990","AL",,,,,,,,"99","Geneva","061",,,"6","9999",,,,"9999","3","Alabama","01",,"0001492831","0000006675","Geneva County","A","+31094395","-085837337","06",35900
"G0100630","1990","AL",,,,,,,,"99","Greene","063",,,"6","9999",,,,"9999","3","Alabama","01",,"0001673033","0000036331","Greene County","A","+32854779","-087951231","06",34300
"G0100650","1990","AL",,,,,,,,"99","Hale","065",,,"6","9999",,,,"9999","3","Alabama","01",,"0001667399","0000032997","Hale County","A","+32755765","-087625424","06",36600
"G0100670","1990","AL",,,,,,,,"99","Henry","067",,,"6","9999",,,,"9999","3","Alabama","01",,"0001455459","0000016634","Henry County","A","+31516095","-085239835","06",40700
"G0100690","1990","AL",,,,,,,,"99","Houston","069",,,"6","2180",,,,"9999","3","Alabama","01",,"0001503260","0000003361","Houston County","A","+31151186","-085304578","06",51800
"G0100710","1990","AL",,,,,,,,"99","Jackson","071",,,"6","9999",,,,"9999","3","Alabama","01",,"0002794103","0000124361","Jackson County","A","+34776174","-086002129","06",43200
"G0100730","1990","AL",,,,,,,,"99","Jefferson","073",,,"6","1000",,,,"9999","3","Alabama","01",,"0002881838","0000028997","Jefferson County","A","+33552433","-086896716","06",57800
"G0100750","1990","AL",,,,,,,,"99","Lamar","075",,,"6","9999",,,,"9999","3","Alabama","01",,"0001566658","0000001600","Lamar County","A","+33775081","-088096415","06",38200
"G0100770","1990","AL",,,,,,,,"99","Lauderdale","077",,,"6","2650",,,,"9999","3","Alabama","01",,"0001734061","0000127739","Lauderdale County","A","+34903733","-087647581","06",51900
"G0100790","1990","AL",,,,,,,,"99","Lawrence","079",,,"6","2030",,,,"9999","3","Alabama","01",,"0001796023","0000063928","Lawrence County","A","+34519990","-087310217","06",44800
"G0100810","1990","AL",,,,,,,,"99","Lee","081",,,"6","9999",,,,"9999","3","Alabama","01",,"0001576767","0000017672","Lee County","A","+32597367","-085355886","06",63600
"G0100830","1990","AL",,,,,,,,"99","Limestone","083",,,"6","9999",,,,"9999","3","Alabama","01",,"0001471352","0000101097","Limestone County","A","+34810321","-086981426","06",56100
"G0100850","1990","AL",,,,,,,,"99","Lowndes","085",,,"6","9999",,,,"9999","3","Alabama","01",,"0001859626","0000018359","Lowndes County","A","+32157500","-086642632","06",34200
"G0100870","1990","AL",,,,,,,,"99","Macon","087",,,"6","9999",,,,"9999","3","Alabama","01",,"0001581388","0000007040","Macon County","A","+32384887","-085692573","06",42100
"G0100890","1990","AL",,,,,,,,"99","Madison","089",,,"6","3440",,,,"9999","3","Alabama","01",,"0002084844","0000020532","Madison County","A","+34760002","-086548777","06",76700
"G0100910","1990","AL",,,,,,,,"99","Marengo","091",,,"6","9999",,,,"9999","3","Alabama","01",,"0002530740","0000015033","Marengo County","A","+32248548","-087790375","06",42000
"G0100930","1990","AL",,,,,,,,"99","Marion","093",,,"6","9999",,,,"9999","3","Alabama","01",,"0001920398","0000005583","Marion County","A","+34134472","-087886567","06",38800
"G0100950","1990","AL",,,,,,,,"99","Marshall","095",,,"6","9999",,,,"9999","3","Alabama","01",,"0001468803","0000145314","Marshall County","A","+34365158","-086313058","06",48200
"G0100970","1990","AL",,,,,,,,"99","Mobile","097",,,"6","5160",,,,"9999","3","Alabama","01",,"0003194402","0001063906","Mobile County","A","+30684350","-088198527","06",52500
"G0100990","1990","AL",,,,,,,,"99","Monroe","099",,,"6","9999",,,,"9999","3","Alabama","01",,"0002657256","0000022404","Monroe County","A","+31562730","-087353102","06",43100
"G0101010","1990","AL",,,,,,,,"99","Montgomery","101",,,"6","5240",,,,"9999","3","Alabama","01",,"0002045765","0000025733","Montgomery County","A","+32224349","-086203795","06",61400
"G0101030","1990","AL",,,,,,,,"99","Morgan","103",,,"6","2030",,,,"9999","3","Alabama","01",,"0001508018","0000043624","Morgan County","A","+34453298","-086857298","06",60400
"G0101050","1990","AL",,,,,,,,"99","Perry","105",,,"6","9999",,,,"9999","3","Alabama","01",,"0001863600","0000011901","Perry County","A","+32638846","-087293685","06",29900
"G0101070","1990","AL",,,,,,,,"99","Pickens","107",,,"6","9999",,,,"9999","3","Alabama","01",,"0002282979","0000022369","Pickens County","A","+33283797","-088084083","06",38100
"G0101090","1990","AL",,,,,,,,"99","Pike","109",,,"6","9999",,,,"9999","3","Alabama","01",,"0001738113","0000002751","Pike County","A","+31806086","-085938912","06",43300
"G0101110","1990","AL",,,,,,,,"99","Randolph","111",,,"6","9999",,,,"9999","3","Alabama","01",,"0001505028","0000007933","Randolph County","A","+33290802","-085456433","06",36200
"G0101130","1990","AL",,,,,,,,"99","Russell","113",,,"6","1800",,,,"9999","3","Alabama","01",,"0001660542","0000016319","Russell County","A","+32287341","-085184114","06",46200
"G0101150","1990","AL",,,,,,,,"99","St Clair","115",,,"6","1000",,,,"9999","3","Alabama","01",,"0001642030","0000050944","St. Clair County","A","+33712571","-086318306","06",52600
"G0101170","1990","AL",,,,,,,,"99","Shelby","117",,,"6","1000",,,,"9999","3","Alabama","01",,"0002058840","0000038020","Shelby County","A","+33266792","-086654667","06",88400
"G0101190","1990","AL",,,,,,,,"99","Sumter","119",,,"6","9999",,,,"9999","3","Alabama","01",,"0002343918","0000021669","Sumter County","A","+32593446","-088193795","06",34400
"G0101210","1990","AL",,,,,,,,"99","Talladega","121",,,"6","9999",,,,"9999","3","Alabama","01",,"0001915562","0000053677","Talladega County","A","+33383988","-086169488","06",44100
"G0101230","1990","AL",,,,,,,,"99","Tallapoosa","123",,,"6","9999",,,,"9999","3","Alabama","01",,"0001859724","0000124994","Tallapoosa County","A","+32860832","-085797597","06",42800
"G0101250","1990","AL",,,,,,,,"99","Tuscaloosa","125",,,"6","8600",,,,"9999","3","Alabama","01",,"0003432429","0000069317","Tuscaloosa County","A","+33287940","-087523765","06",61400
"G0101270","1990","AL",,,,,,,,"99","Walker","127",,,"6","1000",,,,"9999","3","Alabama","01",,"0002057633","0000028248","Walker County","A","+33807130","-087295532","06",41800
"G0101290","1990","AL",,,,,,,,"99","Washington","129",,,"6","9999",,,,"9999","3","Alabama","01",,"0002799102","0000020425","Washington County","A","+31402696","-088202751","06",33600
"G0101310","1990","AL",,,,,,,,"99","Wilcox","131",,,"6","9999",,,,"9999","3","Alabama","01",,"0002301870","0000048649","Wilcox County","A","+31990903","-087308887","06",33700
"G0101330","1990","AL",,,,,,,,"99","Winston","133",,,"6","9999",,,,"9999","3","Alabama","01",,"0001591515","0000045117","Winston County","A","+34154535","-087373481","06",38500
"G0200130","1990","AK",,,,,,,,"99","Aleutians East","013",,,"9","9999",,,,"9999","4","Alaska","02",,"0018090504","0020789982","Aleutians East Borough","A","+55229183","-161915191","04",87300
"G0200160","1990","AK",,,,,,,,"99","Aleutians West","016",,,"9","9999",,,,"9999","4","Alaska","02",,"0011401462","0025155601","Aleutians West Census Area","S","+52242645","-175129755","05",82100
"G0200200","1990","AK",,,,,,,,"99","Anchorage","020",,,"9","0380",,,,"9999","4","Alaska","02",,"0004396902","0000683421","Anchorage Borough","B","+61178368","-149186416","04",109800
"G0200500","1990","AK",,,,,,,,"99","Bethel","050",,,"9","9999",,,,"9999","4","Alaska","02",,"0106416388","0012605996","Bethel Census Area","S","+60939161","-160147317","05",50400
"G0200600","1990","AK",,,,,,,,"99","Bristol Bay Borough","060",,,"9","9999",,,,"9999","4","Alaska","02",,"0001344789","0001031830","Bristol Bay Borough","A","+58744623","-156988097","04",100700
"G0200700","1990","AK",,,,,,,,"99","Dillingham","070",,,"9","9999",,,,"9999","4","Alaska","02",,"0047829349","0005558624","Dillingham Census Area","S","+59949649","-158429855","05",61600
"G0200900","1990","AK",,,,,,,,"99","Fairbanks North Star","090",,,"9","9999",,,,"9999","4","Alaska","02",,"0019068693","0000210436","Fairbanks North Star Borough","A","+64846315","-146643388","04",87400
"G0201000","1990","AK",,,,,,,,"99","Haines","100",,,"9","9999",,,,"9999","4","Alaska","02",,"0006104612","0001028498","Haines Borough","A","+59155973","-135443717","04",80300
"G0201100","1990","AK",,,,,,,,"99","Juneau","110",,,"9","9999",,,,"9999","4","Alaska","02",,"0006717313","0001262781","Juneau Borough","B","+58388588","-134133421","04",114000
"G0201220","1990","AK",,,,,,,,"99","Kenai Peninsula","122",,,"9","9999",,,,"9999","4","Alaska","02",,"0041644386","0014466224","Kenai Peninsula Borough","A","+60202478","-151629576","04",84700
"G0201300","1990","AK",,,,,,,,"99","Ketchikan Gateway","130",,,"9","9999",,,,"9999","4","Alaska","02",,"0003158883","0001356922","Ketchikan Gateway Borough","A","+55541150","-131408008","04",110400
"G0201500","1990","AK",,,,,,,,"99","Kodiak Island","150",,,"9","9999",,,,"9999","4","Alaska","02",,"0016738061","0013942816","Kodiak Island Borough","A","+57707368","-153782518","04",110300
"G0201640","1990","AK",,,,,,,,"99","Lake And Peninsula","164",,,"9","9999",,,,"9999","4","Alaska","02",,"0061207704","0013923634","Lake and Peninsula Borough","A","+58401493","-156184669","04",70800
"G0201700","1990","AK",,,,,,,,"99","Matanuska-Susitna","170",,,"9","9999",,,,"9999","4","Alaska","02",,"0063956536","0001395411","Matanuska-Susitna Borough","A","+62395317","-149575328","04",71500
"G0201800","1990","AK",,,,,,,,"99","Nome","180",,,"9","9999",,,,"9999","4","Alaska","02",,"0059602512","0013632761","Nome Census Area","S","+64735328","-164186608","05",56700
"G0201850","1990","AK",,,,,,,,"99","North Slope","185",,,"9","9999",,,,"9999","4","Alaska","02",,"0227558672","0015443149","North Slope Borough","A","+69296886","-153448095","04",84500
"G0201880","1990","AK",,,,,,,,"99","Northwest Arctic","188",,,"9","9999",,,,"9999","4","Alaska","02",,"0092883808","0012428093","Northwest Arctic Borough","A","+67000678","-159998166","04",65300
"G0202010","1990","AK",,,,,,,,"99","Prince Of Wales-Outer Ketchikan","201",,,"9","9999",,,,"9999","4","Alaska","02",,"0018970375","0013576622","Prince of Wales-Outer Ketchikan Census Area","S","+55454038","-132050372","05",63400
"G0202200","1990","AK",,,,,,,,"99","Sitka","220",,,"9","9999",,,,"9999","4","Alaska","02",,"0007463030","0005097345","Sitka Borough","B","+57214050","-135446833","04",119300
"G0202310","1990","AK",,,,,,,,"99","Skagway-Yakutat-Angoon","231",,,"9","9999",,,,"9999","4","Alaska","02",,"0033360798","0011964847","Skagway-Yakutat-Angoon Census Area","S","+58811136","-136622061","05",63500
"G0202400","1990","AK",,,,,,,,"99","Southeast Fairbanks","240",,,"9","9999",,,,"9999","4","Alaska","02",,"0067324739","0000625041","Southeast Fairbanks Census Area","S","+63765233","-143598085","05",54000
"G0202610","1990","AK",,,,,,,,"99","Valdez-Cordova","261",,,"9","9999",,,,"9999","4","Alaska","02",,"0095688464","0017017123","Valdez-Cordova Census Area","S","+61400254","-144503102","05",96700
"G0202700","1990","AK",,,,,,,,"99","Wade Hampton","270",,,"9","9999",,,,"9999","4","Alaska","02",,"0044351368","0006620034","Wade Hampton Census Area","S","+62087611","-163529421","05",42800
"G0202800","1990","AK",,,,,,,,"99","Wrangell-Petersburg","280",,,"9","9999",,,,"9999","4","Alaska","02",,"0015044097","0008197976","Wrangell-Petersburg Census Area","S","+56518015","-132961816","05",88200
"G0202900","1990","AK",,,,,,,,"99","Yukon-Koyukuk","290",,,"9","9999",,,,"9999","4","Alaska","02",,"0406944070","0004855431","Yukon-Koyukuk Census Area","S","+65285776","-151646937","05",31400
"G0400010","1990","AZ",,,,,,,,"99","Apache","001",,,"8","9999",,,,"9999","4","Arizona","04",,"0029022713","0000034927","Apache County","A","+35383620","-109488456","06",16600
"G0400030","1990","AZ",,,,,,,,"99","Cochise","003",,,"8","9999",,,,"9999","4","Arizona","04",,"0015980285","0000127746","Cochise County","A","+31890821","-109736956","06",59700
"G0400050","1990","AZ",,,,,,,,"99","Coconino","005",,,"8","9999",,,,"9999","4","Arizona","04",,"0048223545","0000112495","Coconino County","A","+35835573","-111768163","06",81700
"G0400070","1990","AZ",,,,,,,,"99","Gila","007",,,"8","9999",,,,"9999","4","Arizona","04",,"0012349309","0000072608","Gila County","A","+33797288","-110818155","06",58500
"G0400090","1990","AZ",,,,,,,,"99","Graham","009",,,"8","9999",,,,"9999","4","Arizona","04",,"0011990779","0000030640","Graham County","A","+32936517","-109891347","06",50300
"G0400110","1990","AZ",,,,,,,,"99","Greenlee","011",,,"8","9999",,,,"9999","4","Arizona","04",,"0004784084","0000003665","Greenlee County","A","+33185081","-109232988","06",40700
"G0400120","1990","AZ",,,,,,,,"99","La Paz","012",,,"8","9999",,,,"9999","4","Arizona","04",,"0011653884","0000036498","La Paz County","A","+33727923","-113979016","06",55200
"G0400130","1990","AZ",,,,,,,,"99","Maricopa","013",,,"8","6200",,,,"9999","4","Arizona","04",,"0023838482","0000053895","Maricopa County","A","+33342656","-112490919","06",83700
"G0400150","1990","AZ",,,,,,,,"99","Mohave","015",,,"8","9999",,,,"9999","4","Arizona","04",,"0034479166","0000409435","Mohave County","A","+35708232","-113753337","06",74900
"G0400170","1990","AZ",,,,,,,,"99","Navajo","017",,,"8","9999",,,,"9999","4","Arizona","04",,"0025780344","0000016618","Navajo County","A","+35387551","-110319661","06",51400
"G0400190","1990","AZ",,,,,,,,"99","Pima","019",,,"8","8520",,,,"9999","4","Arizona","04",,"0023794348","0000006304","Pima County","A","+32103960","-111814821","06",76100
